pt,channel,roi_group,state,n_clips,slow,delta,theta,spindle,beta,gamma
sub-RID0031,RC04-RC05,temporal_neocortex,N2,8,0.7870051534846956,0.5072049138368415,0.14002155598810626,0.010902818406029687,0.006170972917696869,0.001700845575735183
sub-RID0031,RG03-RG04,temporal_neocortex,N2,8,0.7356842823788357,0.4990598323883657,0.1675767720341162,0.016084961004861145,0.011264869697923563,0.0024796206985739614
sub-RID0031,RG04-RG05,temporal_neocortex,N2,8,0.6696997298198619,0.4639386820506228,0.1931327188597063,0.032349865902048615,0.016301031983372096,0.004734136096879766
sub-RID0031,LA06-LA07,temporal_neocortex,N3,8,0.972043714418187,0.38269509705228877,0.01643657990669064,0.0018996407517754578,0.002427594945091127,0.0017982824150240143
sub-RID0031,LA07-LA08,temporal_neocortex,N3,8,0.9851003600726529,0.32792040693654967,0.009685355382693633,0.0007021492484374568,0.0009107568862229266,0.0005406032428216374
sub-RID0031,LA08-LA09,temporal_neocortex,N3,8,0.9703565177291699,0.25853566251877164,0.019362812172275215,0.0017511149337039258,0.0016536429560257413,0.001006676337802453
sub-RID0031,LA09-LA10,temporal_neocortex,N3,8,0.9432839298196918,0.3539278980776086,0.03596114539206183,0.004061138101071138,0.003545675205028633,0.002278504121241429
sub-RID0031,LB01-LB02,hippocampal,N3,8,0.7396788751197584,0.49690344484222915,0.14989751342235313,0.026041614038378964,0.019062119099580548,0.01111189564792669
sub-RID0031,LB02-LB03,hippocampal,N3,8,0.8287997957052037,0.4795353991453865,0.09782661295375146,0.015979263489743555,0.015222070432208697,0.008760893125602442
sub-RID0031,LB08-LB09,temporal_neocortex,N3,8,0.9691999705610269,0.3425648728777234,0.01818091100824675,0.002245530434115785,0.0018525540655937424,0.0010302604273318388
sub-RID0031,LB09-LB10,temporal_neocortex,N3,8,0.9829969603300366,0.23219682464918456,0.012524935069654781,0.0006655444429796701,0.0003609490115271096,0.000162758581870498
sub-RID0031,LC01-LC02,hippocampal,N3,8,0.7199097938906418,0.4710896232676236,0.12506659446047164,0.045830527596371684,0.03405407954886528,0.014137320351944498
sub-RID0031,LC02-LC03,hippocampal,N3,8,0.7650648810729214,0.5335337410120677,0.11133852113910822,0.0461408423916375,0.024966032524204068,0.006465934839614829
sub-RID0031,LC08-LC09,temporal_neocortex,N3,8,0.9590233251160545,0.29650079025942483,0.030127311893942146,0.001515175683273394,0.0010463625222601179,0.0006674899827131984
sub-RID0031,LC09-LC10,temporal_neocortex,N3,8,0.9795531132109456,0.28904222349708175,0.016002831289442396,0.0005636479385721345,0.0002537474268877684,0.00010075410256940183
sub-RID0031,RA07-RA08,temporal_neocortex,N3,8,0.944505589872846,0.34559747504935034,0.03883428550416662,0.002185083736000614,0.00165440542369553,0.0007035635367766563
sub-RID0031,RA08-RA09,temporal_neocortex,N3,8,0.9500656758864512,0.36228994943717846,0.033312122287003504,0.002663430351392393,0.002731510996068918,0.0013800714248724277
sub-RID0031,RA09-RA10,temporal_neocortex,N3,8,0.8944196721262622,0.3342245620089526,0.07058146858862535,0.005703864008823924,0.004617715122580179,0.0019037176402896105
sub-RID0031,RB07-RB08,temporal_neocortex,N3,8,0.9624484199692092,0.30115805877909974,0.02765268434024805,0.0012270850357179064,0.000807227305249506,0.00038432728158690067
sub-RID0031,RB08-RB09,temporal_neocortex,N3,8,0.9686369677404741,0.36936306072267117,0.021417987845289282,0.0015298018381625514,0.001186616719525951,0.0006399315446873589
sub-RID0031,RB09-RB10,temporal_neocortex,N3,8,0.9321697657230938,0.3499516614753606,0.05098419429282752,0.0024026314989478584,0.0016940602549285113,0.0009556651039568132
sub-RID0031,RC01-RC02,parahippocampal,N3,8,0.7618561910518957,0.450467827850611,0.12520797479161483,0.03417238596218257,0.01874901589684865,0.004361118137643175
sub-RID0031,RC04-RC05,temporal_neocortex,N3,8,0.9410827979138832,0.4062390413047069,0.04336720348499689,0.002078792390827154,0.0013765169064516225,0.0006933756248458999
sub-RID0031,RG03-RG04,temporal_neocortex,N3,8,0.9407124207059887,0.33512142096625314,0.04318784919426916,0.002348525057619094,0.0017551647644083851,0.0008575468453243908
sub-RID0031,RG04-RG05,temporal_neocortex,N3,8,0.9119585895429827,0.41573948323279436,0.06227806538665126,0.004818718520049455,0.0026789518279438495,0.0011326240376253983
sub-RID0031,LA06-LA07,temporal_neocortex,R,8,0.8125030635791455,0.438922282251717,0.07060320222406606,0.023624540303042785,0.038376213590158983,0.02533847176541102
sub-RID0031,LA07-LA08,temporal_neocortex,R,8,0.846758408936991,0.4145907849716285,0.0718239371310032,0.01717184886834299,0.02481531971589387,0.012877410089440992
sub-RID0031,LA08-LA09,temporal_neocortex,R,8,0.7495274505062086,0.491321206614511,0.09609734324090502,0.035950201687116747,0.043062861857562,0.0179835774129672
sub-RID0031,LA09-LA10,temporal_neocortex,R,8,0.7782590546093209,0.4946867919774982,0.09155262100399902,0.02985233016809812,0.036838109245096076,0.018442142957702277
sub-RID0031,LB01-LB02,hippocampal,R,8,0.6314911528108603,0.4444085622598736,0.14723304470374796,0.055573378130218745,0.045757239099893626,0.04924522767501092
sub-RID0031,LB02-LB03,hippocampal,R,8,0.6956960419440061,0.44509220862868204,0.12178449112044602,0.04528637531622646,0.038578829004376945,0.03066798679216727
sub-RID0031,LB08-LB09,temporal_neocortex,R,8,0.9137924053220717,0.5720771885576139,0.03636576592105688,0.012017599340733643,0.012330855109338882,0.005031425817559367
sub-RID0031,LB09-LB10,temporal_neocortex,R,8,0.9429365825538831,0.5294867194298443,0.03354276536768263,0.003376371296025662,0.0031649927105961958,0.0009593337886773718
sub-RID0031,LC01-LC02,hippocampal,R,8,0.8796600801448398,0.5888876081952479,0.06131099988840091,0.009076798686355463,0.013385702818837202,0.01627231621713486
sub-RID0031,LC02-LC03,hippocampal,R,8,0.8306799921020467,0.5501356423809685,0.06776624818376643,0.025650615301909967,0.02700761788086569,0.02412779065552546
sub-RID0031,LC08-LC09,temporal_neocortex,R,8,0.8656113301015622,0.5977888619504005,0.07846365339632991,0.009258556857755992,0.009577481125133569,0.005377612262347811
sub-RID0031,LC09-LC10,temporal_neocortex,R,8,0.9524110718377461,0.6110240699342812,0.031498146047964116,0.001508893016732984,0.001237016143238399,0.0004915456078402349
sub-RID0031,RA07-RA08,temporal_neocortex,R,8,0.925547459053264,0.7376244891686414,0.04182709650711273,0.007238087222741642,0.005484465047168558,0.00141764165170225
